portfolio,date,datetime,action,symbol,price,shares,value,market_cap
Top-1,2005-01-03,2005-01-03 09:30:00,BUY,AIG,687.6288,145.427294,100000.00,89503070000
Top-1,2007-07-13,2007-07-13 09:30:00,BUY,AAPL,4.0559,26636.457515,108033.57,97843203360
Top-1,2007-07-13,2007-07-13 09:30:00,SELL,AIG,743.1898,145.427294,108080.09,96870248000
Top-1,2007-08-10,2007-08-10 09:30:00,BUY,AIG,677.0809,147.918922,100153.08,90073800000
Top-1,2007-08-10,2007-08-10 09:30:00,SELL,AAPL,3.7094,26636.457515,98805.73,88862426240
Top-1,2007-08-13,2007-08-13 09:30:00,BUY,AAPL,3.8568,26537.134979,102349.54,90753116160
Top-1,2007-08-13,2007-08-13 09:30:00,SELL,AIG,696.0941,147.918922,102965.49,90227672000
Top-1,2007-08-14,2007-08-14 09:30:00,BUY,AIG,695.1279,142.396119,98983.51,88346000000
Top-1,2007-08-14,2007-08-14 09:30:00,SELL,AAPL,3.8563,26537.134979,102335.10,88153417520
Top-1,2007-08-22,2007-08-22 09:30:00,BUY,AAPL,3.9463,25702.686290,101431.60,94061823520
Top-1,2007-08-22,2007-08-22 09:30:00,SELL,AIG,710.2923,142.396119,101142.86,92886528000
Top-1,2007-08-23,2007-08-23 09:30:00,BUY,AIG,715.6391,141.507902,101268.58,93430296000
Top-1,2007-08-23,2007-08-23 09:30:00,SELL,AAPL,3.9989,25702.686290,102783.29,93116478560
Top-1,2007-08-24,2007-08-24 09:30:00,BUY,AAPL,3.9267,26020.447912,102175.78,96188849680
Top-1,2007-08-24,2007-08-24 09:30:00,SELL,AIG,713.5045,141.507902,100966.53,94155320000
Top-1,2007-08-28,2007-08-28 09:30:00,BUY,AIG,713.5010,138.945714,99137.91,90853592000
Top-1,2007-08-28,2007-08-28 09:30:00,SELL,AAPL,3.9362,26020.447912,102420.62,90044107440
Top-1,2007-08-29,2007-08-29 09:30:00,BUY,AAPL,3.9038,25140.357068,98142.92,95243504720
Top-1,2007-08-29,2007-08-29 09:30:00,SELL,AIG,699.6111,138.945714,97207.97,92106736000
Top-1,2018-12-12,2018-12-12 09:30:00,BUY,AMZN,83.4500,12134.854196,1012653.58,798528000000
Top-1,2018-12-12,2018-12-12 09:30:00,SELL,AAPL,40.5849,25140.357068,1020317.94,798410342240
Top-1,2018-12-13,2018-12-13 09:30:00,BUY,AAPL,40.6057,24780.334193,1006222.11,807131805760
Top-1,2018-12-13,2018-12-13 09:30:00,SELL,AMZN,84.0000,12134.854196,1019327.75,796032000000
Top-1,2019-01-02,2019-01-02 09:30:00,BUY,AMZN,73.2600,12725.036478,932236.17,749590400000
Top-1,2019-01-02,2019-01-02 09:30:00,SELL,AAPL,36.8958,24780.334193,914290.39,745685130960
Top-1,2019-02-04,2019-02-04 09:30:00,BUY,AAPL,39.8753,26062.594783,1039253.73,808519311320
Top-1,2019-02-04,2019-02-04 09:30:00,SELL,AMZN,81.1500,12725.036478,1032636.71,795465800000
Top-1,2019-05-13,2019-05-13 09:30:00,BUY,AMZN,91.8300,12658.082623,1162391.73,887606200000
Top-1,2019-05-13,2019-05-13 09:30:00,SELL,AAPL,45.0803,26062.594783,1174909.41,884039256800
Top-1,2019-05-14,2019-05-14 09:30:00,BUY,AAPL,44.7625,26018.895342,1164670.18,898112527480
Top-1,2019-05-14,2019-05-14 09:30:00,SELL,AMZN,91.9700,12658.082623,1164163.86,896177400000
